Date,Open,High,Low,Close,Volume
1987-12-31,247.84,247.86,245.22,247.08,94522222
1988-01-04,247.1,256.44,247.08,255.94,101005556
1988-01-05,255.95,261.78,255.95,258.63,116400000
1988-01-06,258.64,259.79,257.18,258.89,94294444
1988-01-07,258.87,261.32,256.18,261.07,97422222
1988-01-08,261.05,261.07,242.95,243.4,109611111
1988-01-11,243.38,247.51,241.07,247.49,88322222
1988-01-12,247.44,247.49,240.46,245.42,92072222
1988-01-13,245.41,249.25,241.41,245.81,85566667
1988-01-14,245.83,247,243.97,245.88,78094444
1988-01-15,246.02,253.65,245.88,252.05,109966667
1988-01-18,252.05,252.86,249.98,251.88,75055556
1988-01-19,251.84,253.33,248.75,249.32,85305556
1988-01-20,249.31,249.32,241.14,242.63,100922222
1988-01-21,242.65,244.25,240.17,243.14,87822222
1988-01-22,243.14,246.5,243.14,246.5,81694444
1988-01-25,246.53,252.87,246.5,252.17,152916667
1988-01-26,252.13,252.17,249.1,249.57,76877778
1988-01-27,249.58,253.02,248.5,249.38,97977778
1988-01-28,249.39,253.66,249.38,253.29,92461111
1988-01-29,253.31,257.07,252.7,257.07,117711111
1988-02-01,257.05,258.27,254.93,255.04,117033333
1988-02-02,255.05,256.08,252.8,255.57,91622222
1988-02-03,255.56,256.98,250.56,252.21,131816667
1988-02-04,252.2,253.03,250.34,252.21,103605556
1988-02-05,252.22,253.85,250.9,250.96,89616667
1988-02-08,250.95,250.96,247.82,249.1,93805556
1988-02-09,249.11,251.72,248.66,251.72,90194444
1988-02-10,251.74,256.92,251.72,256.66,104433333
1988-02-11,256.63,257.77,255.12,255.95,111533333
1988-02-12,255.95,258.86,255.85,257.63,98438889
1988-02-16,257.61,259.84,256.57,259.83,75211111
1988-02-17,259.94,261.47,257.83,259.21,98238889
1988-02-18,258.82,259.6,256.9,257.91,84127778
1988-02-19,257.9,261.61,257.62,261.61,100166667
1988-02-22,261.6,266.06,260.88,265.64,99405556
1988-02-23,265.62,266.12,263.11,265.02,106811111
1988-02-24,265.01,266.25,263.87,264.43,118183333
1988-02-25,264.39,267.75,261.05,261.58,118605556
1988-02-26,261.56,263,261.38,262.46,87811111
1988-02-29,262.46,267.82,262.46,267.82,131138889
1988-03-01,267.82,267.95,265.39,267.22,111105556
1988-03-02,267.23,268.75,267,267.98,110905556
1988-03-03,267.98,268.4,266.82,267.88,112950000
1988-03-04,267.87,268.4,264.72,267.3,111894444
1988-03-07,267.28,267.69,265.94,267.38,84988889
1988-03-08,267.38,270.06,267.38,269.43,132044444
1988-03-09,269.46,270.76,268.65,269.06,117166667
1988-03-10,269.07,269.35,263.8,263.84,109588889
1988-03-11,263.85,264.94,261.27,264.94,111122222
1988-03-14,264.93,266.55,264.52,266.37,73272222
1988-03-15,266.34,266.41,264.92,266.13,73983333
1988-03-16,266.11,268.68,264.81,268.65,85327778
1988-03-17,268.66,271.22,268.65,271.22,117733333
1988-03-18,271.22,272.64,269.76,271.12,136527778
1988-03-21,271.1,271.12,267.42,268.74,71572222
1988-03-22,268.73,269.61,267.9,268.84,78888889
1988-03-23,268.81,269.79,268.01,268.91,92983333
1988-03-24,268.91,268.91,262.48,263.35,102727778
1988-03-25,263.34,263.44,258.12,258.51,90650000
1988-03-28,258.5,258.51,256.07,258.06,79344444
1988-03-29,258.11,260.86,258.06,260.07,84827778
1988-03-30,260.06,261.59,257.92,258.07,84338889
1988-03-31,258.03,259.03,256.16,258.89,77705556
1988-04-04,258.89,259.06,255.68,256.09,101244444
1988-04-05,256.1,258.52,256.03,258.51,75161111
1988-04-06,258.52,265.5,258.22,265.49,105422222
1988-04-07,265.51,267.32,265.22,266.16,98800000
1988-04-08,266.15,270.22,266.11,269.43,94055556
1988-04-11,269.43,270.41,268.61,270.16,81316667
1988-04-12,269.88,272.05,269.66,271.37,81333333
1988-04-13,271.33,271.7,269.23,271.58,102844444
1988-04-14,271.55,271.57,259.37,259.75,117672222
1988-04-15,259.74,260.39,255.97,259.77,130088889
1988-04-18,259.75,259.81,258.03,259.21,80361111
1988-04-19,259.24,262.38,257.91,257.92,89950000
1988-04-20,257.91,258.54,256.12,256.13,81994444
1988-04-21,256.15,260.44,254.71,256.42,93577778
1988-04-22,256.45,261.16,256.42,260.14,84733333
1988-04-25,260.15,263.29,260.14,262.51,87194444
1988-04-26,262.45,265.06,262.18,263.93,84611111
1988-04-27,263.94,265.09,263.45,263.8,74338889
1988-04-28,263.79,263.8,262.22,262.61,71488889
1988-04-29,262.59,262.61,259.97,261.33,75344444
1988-05-02,261.36,261.56,259.99,261.56,75816667
1988-05-03,261.55,263.7,261.55,263,98288889
1988-05-04,263.05,263.23,260.31,260.32,78511111
1988-05-05,260.3,260.32,258.13,258.79,95466667
1988-05-06,258.8,260.31,257.03,257.48,71711111
1988-05-09,257.47,258.22,255.45,256.54,92400000
1988-05-10,256.53,258.3,255.93,257.62,72888889
1988-05-11,257.6,257.62,252.32,253.31,98177778
1988-05-12,253.32,254.87,253.31,253.85,79933333
1988-05-13,253.88,256.83,253.85,256.78,81800000
1988-05-16,256.75,258.71,256.28,258.71,86116667
1988-05-17,258.72,260.2,255.35,255.39,74361111
1988-05-18,255.4,255.67,250.73,251.35,116344444
1988-05-19,251.36,252.57,248.85,252.57,91755556
1988-05-20,252.61,253.7,251.79,253.02,67000000
1988-05-23,253,253.02,249.82,250.83,57022222
1988-05-24,250.84,253.51,250.83,253.51,77738889
1988-05-25,253.52,255.34,253.51,253.76,76838889
1988-05-26,253.75,254.98,253.52,254.63,91255556
1988-05-27,254.62,254.63,252.74,253.42,74216667
1988-05-31,253.44,262.16,253.42,262.16,137561111
1988-06-01,262.16,267.43,262.1,266.69,130311111
1988-06-02,266.65,266.71,264.12,265.33,107522222
1988-06-03,265.34,267.11,264.42,266.45,105333333
1988-06-06,266.46,267.05,264.97,267.05,84700000
1988-06-07,267.02,267.28,264.5,265.17,93727778
1988-06-08,265.32,272.01,265.17,271.52,172238889
1988-06-09,271.5,272.29,270.19,270.2,130644444
1988-06-10,270.22,273.21,270.2,271.26,86505556
1988-06-13,271.28,271.94,270.53,271.43,69616667
1988-06-14,271.58,276.14,271.44,274.3,126194444
1988-06-15,274.29,274.45,272.75,274.45,83477778
1988-06-16,274.44,274.45,268.76,269.77,89750000
1988-06-17,269.79,270.77,268.09,270.68,191066667
1988-06-20,270.67,270.68,268.59,268.94,64861111
1988-06-21,268.95,271.67,267.52,271.67,86144444
1988-06-22,271.69,276.88,271.67,275.66,120838889
1988-06-23,275.62,275.89,274.26,274.82,103205556
1988-06-24,274.81,275.19,273.53,273.78,99933333
1988-06-27,273.78,273.79,268.85,269.06,146894444
1988-06-28,269.07,272.8,269.06,272.31,84650000
1988-06-29,272.32,273.01,269.49,270.98,88661111
1988-06-30,271,273.51,270.97,273.5,126338889
1988-07-01,273.5,273.8,270.78,271.78,132405556
1988-07-05,271.78,275.81,270.51,275.81,95438889
1988-07-06,275.8,276.36,269.92,272.02,105350000
1988-07-07,272,272.05,269.31,271.78,86722222
1988-07-08,271.76,272.31,269.86,270.02,75594444
1988-07-11,270.03,271.64,270.02,270.55,68500000
1988-07-12,270.54,270.7,266.96,267.85,89805556
1988-07-13,267.87,269.46,266.12,269.32,121627778
1988-07-14,269.33,270.69,268.58,270.26,95783333
1988-07-15,270.23,272.06,269.53,272.05,110950000
1988-07-18,271.99,272.05,268.66,270.51,86783333
1988-07-19,270.49,271.21,267.01,268.47,80061111
1988-07-20,268.52,270.24,268.47,270,84438889
1988-07-21,269.99,270,266.66,266.66,83033333
1988-07-22,266.65,266.66,263.29,263.5,82711111
1988-07-25,263.49,265.17,263.03,264.68,119522222
1988-07-26,264.7,266.09,264.32,265.19,67755556
1988-07-27,265.18,265.83,262.48,262.5,75494444
1988-07-28,262.52,266.55,262.5,266.02,85872222
1988-07-29,266.04,272.02,266.02,272.02,106855556
1988-08-01,272.03,272.8,271.21,272.21,76761111
1988-08-02,272.19,273.68,270.37,272.06,92588889
1988-08-03,272.03,273.42,271.15,272.98,113105556
1988-08-04,273,274.2,271.77,271.93,87355556
1988-08-05,271.7,271.93,270.08,271.15,63000000
1988-08-08,271.13,272.47,269.93,269.98,82666667
1988-08-09,270,270.2,265.06,266.49,111505556
1988-08-10,266.43,266.49,261.03,261.9,111638889
1988-08-11,261.92,262.77,260.34,262.75,96111111
1988-08-12,262.7,262.94,261.37,262.55,98311111
1988-08-15,262.49,262.55,258.68,258.69,71422222
1988-08-16,258.68,262.61,257.5,260.56,90438889
1988-08-17,260.57,261.84,259.33,260.77,94166667
1988-08-18,260.76,262.76,260.75,261.03,77677778
1988-08-19,261.05,262.27,260.23,260.24,67983333
1988-08-22,260.24,260.71,256.94,256.98,67916667
1988-08-23,256.99,257.86,256.53,257.09,66411111
1988-08-24,257.16,261.13,257.09,261.13,71000000
1988-08-25,261.1,261.13,257.56,259.18,70911111
1988-08-26,259.18,260.15,258.87,259.68,49577778
1988-08-29,259.68,262.56,259.68,262.33,55155556
1988-08-30,262.33,263.18,261.53,262.51,60400000
1988-08-31,262.51,263.8,261.21,261.52,72488889
1988-09-01,261.52,261.52,256.98,258.35,80050000
1988-09-02,258.35,264.9,258.35,264.48,88800000
1988-09-06,264.42,265.94,264.4,265.59,67916667
1988-09-07,265.62,266.98,264.93,265.87,77550000
1988-09-08,265.87,266.54,264.88,265.88,82988889
1988-09-09,265.88,268.26,263.66,266.84,78633333
1988-09-12,266.85,267.64,266.22,266.47,63822222
1988-09-13,266.45,267.43,265.22,267.43,90272222
1988-09-14,267.5,269.47,267.41,269.31,98455556
1988-09-15,269.3,269.78,268.03,268.13,89561111
1988-09-16,268.13,270.81,267.33,270.65,117283333
1988-09-19,270.64,270.65,267.41,268.82,75427778
1988-09-20,268.83,270.07,268.5,269.73,79011111
1988-09-21,269.76,270.64,269.48,270.16,70777778
1988-09-22,270.19,270.58,268.26,269.18,83705556
1988-09-23,269.16,270.31,268.28,269.76,80611111
1988-09-26,269.77,269.8,268.61,268.88,64677778
1988-09-27,268.89,269.36,268.01,268.26,62783333
1988-09-28,268.22,269.08,267.77,269.08,63177778
1988-09-29,269.09,273.02,269.08,272.59,86550000
1988-09-30,272.55,274.87,271.66,271.91,97638889
1988-10-03,271.89,271.91,268.84,271.38,72433333
1988-10-04,271.37,271.79,270.34,270.62,87644444
1988-10-05,270.63,272.45,270.08,271.86,97294444
1988-10-06,271.87,272.39,271.3,272.39,85316667
1988-10-07,272.38,278.07,272.37,278.07,120216667
1988-10-10,278.06,278.69,277.1,278.24,69255556
1988-10-11,278.15,278.24,276.33,277.93,78277778
1988-10-12,277.91,277.93,273.05,273.98,86022222
1988-10-13,273.95,275.83,273.39,275.22,85850000
1988-10-14,275.27,277.01,274.08,275.5,89022222
1988-10-17,275.48,276.65,275.01,276.41,66272222
1988-10-18,276.43,279.39,276.41,279.38,90277778
1988-10-19,279.4,280.53,274.41,276.97,103527778
1988-10-20,276.97,282.88,276.93,282.88,105322222
1988-10-21,282.88,283.66,281.16,283.66,108561111
1988-10-24,283.63,283.95,282.28,282.28,94772222
1988-10-25,282.28,282.84,281.87,282.38,86216667
1988-10-26,282.37,282.52,280.54,281.38,100861111
1988-10-27,281.35,281.38,276,277.28,109188889
1988-10-28,277.29,279.48,277.28,278.53,81277778
1988-10-31,278.54,279.39,277.14,278.97,79700000
1988-11-01,278.97,279.57,278.01,279.06,84027778
1988-11-02,279.07,279.45,277.08,279.06,89611111
1988-11-03,279.04,280.37,279.04,279.2,84988889
1988-11-04,279.11,279.2,276.31,276.31,79766667
1988-11-07,276.3,276.31,273.62,273.93,74372222
1988-11-08,273.95,275.8,273.93,275.15,78700000
1988-11-09,275.14,275.15,272.15,273.33,85077778
1988-11-10,273.32,274.37,272.98,273.69,71622222
1988-11-11,273.65,273.69,267.92,267.92,75277778
1988-11-14,267.93,269.25,266.79,267.72,79388889
1988-11-15,267.73,268.75,267.72,268.34,63983333
1988-11-16,268.41,268.41,262.85,263.82,89838889
1988-11-17,264.61,265.63,263.45,264.6,78488889
1988-11-18,264.6,266.62,264.6,266.47,66288889
1988-11-21,266.35,266.47,263.41,266.22,66905556
